"STATION","NAME","DATE","AWND","PRCP","SNOW","TMAX","TMIN","WT01","WT02","WT03","WT08"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-11","2.46","0.00",,"47","27",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-12","2.46","0.00",,"47","30",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-13","4.70","0.00",,"58","37",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-14","4.47","0.42",,"49","37","    1",,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-15","3.13","0.05",,"41","33","    1",,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-16","4.92","0.00",,"43","32",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-17","2.91","0.00",,"44","32",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-18","9.17","0.15",,"48","36","    1",,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-19","8.28","0.00",,"39","25",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-20","0.45","0.00",,"35","21",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-21","0.67","0.00",,"36","22",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-22","0.89","0.00",,"36","22",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-23","1.12","0.00",,"40","26",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-24","6.93","0.00",,"49","29",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-25","3.80","0.00",,"39","27",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-26","3.13","0.00",,"38","27",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-27","6.04","0.00",,"42","29",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-28","3.13","0.00",,"40","25",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-29","2.01","0.00",,"37","25",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-30","1.34","0.00",,"36","23",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-12-31","4.03","0.00",,"41","27",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-01","2.01","0.00",,"36","22",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-02","1.12","0.00",,"36","20",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-03","2.24","0.00",,"38","20",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-04","1.34","0.00",,"36","19",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2013-01-05","1.12","0.00",,"37","19",,,,"    1"
